Item ID,Qty,Rate,External ID,Date,Department,Location,Currency,Customer,Gross Amount,Price Level,VAT,PO,Payment Method,Memo,Account,Cus Checking,New Cus Checking
1850,1,128.28,JY033593444604,12/02/2022,22,76,CNY,3760094,144.95,Custom,,236030335934,,236030335934,2070,12,JD
1408,1,128.28,JY033593444604,12/02/2022,22,76,CNY,3760094,144.95,Custom,,236030335934,,236030335934,2070,12,JD
55,1,193.81,JY075758844603,11/02/2022,22,76,CNY,3760094,219.0,Custom,,235990757588,,235990757588,2070,12,JD
1957,1,264.6,JY094328144604,12/02/2022,22,76,CNY,3760094,299.0,Custom,,236000943281,,236000943281,2070,12,JD
58,1,193.81,JY104161344604,12/02/2022,22,76,CNY,3760094,219.0,Custom,,238751041613,,238751041613,2070,12,JD
55,1,193.81,JY108412244603,11/02/2022,22,76,CNY,3760094,219.0,Custom,,235981084122,,235981084122,2070,12,JD
2471,1,264.6,JY147660644604,12/02/2022,22,76,CNY,3760094,299.0,Custom,,236031476606,,236031476606,2070,12,JD
1383,1,147.17,JY198555944603,11/02/2022,22,76,CNY,3760094,166.3,Custom,,235981985559,,235981985559,2070,12,JD
55,1,193.81,JY201493844604,12/02/2022,22,76,CNY,3760094,219.0,Custom,,236042014938,,236042014938,2070,12,JD
60,1,193.81,JY220181744603,11/02/2022,22,76,CNY,3760094,219.0,Custom,,235932201817,,235932201817,2070,12,JD
2977,1,264.6,JY234550344604,12/02/2022,22,76,CNY,3760094,299.0,Custom,,236012345503,,236012345503,2070,12,JD
1900,1,255.75,JY260561844604,12/02/2022,22,76,CNY,3760094,289.0,Custom,,236002605618,,236002605618,2070,12,JD
2846,1,193.81,JY266422444603,11/02/2022,22,76,CNY,3760094,219.0,Custom,,238772664224,,238772664224,2070,12,JD
1958,1,264.6,JY267858044603,11/02/2022,22,76,CNY,3760094,299.0,Custom,,235982678580,,235982678580,2070,12,JD
2818,1,264.6,JY317643644603,11/02/2022,22,76,CNY,3760094,299.0,Custom,,235963176436,,235963176436,2070,12,JD
1997,1,255.75,JY321724944603,11/02/2022,22,76,CNY,3760094,289.0,Custom,,238743217249,,238743217249,2070,12,JD
54,1,193.81,JY324918544604,12/02/2022,22,76,CNY,3760094,219.0,Custom,,238803249185,,238803249185,2070,12,JD
105,1,264.6,JY328695944604,12/02/2022,22,76,CNY,3760094,299.0,Custom,,238743286959,,238743286959,2070,12,JD
1409,1,147.17,JY334466644603,11/02/2022,22,76,CNY,3760094,166.3,Custom,,235943344666,,235943344666,2070,12,JD
60,1,193.81,JY347756844604,12/02/2022,22,76,CNY,3760094,219.0,Custom,,238803477568,,238803477568,2070,12,JD
2846,1,193.81,JY366801344604,12/02/2022,22,76,CNY,3760094,219.0,Custom,,238743668013,,238743668013,2070,12,JD
94,1,147.17,JY370613244603,11/02/2022,22,76,CNY,3760094,166.3,Custom,,235973706132,,235973706132,2070,12,JD
1367,1,264.6,JY414038244603,11/02/2022,22,76,CNY,3760094,299.0,Custom,,235994140382,,235994140382,2070,12,JD
55,1,193.81,JY483397844603,11/02/2022,22,76,CNY,3760094,219.0,Custom,,235944833978,,235944833978,2070,12,JD
2978,1,264.6,JY497279644603,11/02/2022,22,76,CNY,3760094,299.0,Custom,,235964972796,,235964972796,2070,12,JD
55,1,193.81,JY538025444604,12/02/2022,22,76,CNY,3760094,219.0,Custom,,236015380254,,236015380254,2070,12,JD
1366,1,264.6,JY567395044604,12/02/2022,22,76,CNY,3760094,299.0,Custom,,236005673950,,236005673950,2070,12,JD
104,1,264.6,JY581011044603,11/02/2022,22,76,CNY,3760094,299.0,Custom,,235975810110,,235975810110,2070,12,JD
55,1,193.81,JY591276244604,12/02/2022,22,76,CNY,3760094,219.0,Custom,,236005912762,,236005912762,2070,12,JD
1409,1,147.17,JY603373244603,11/02/2022,22,76,CNY,3760094,166.3,Custom,,238796033732,,238796033732,2070,12,JD
55,1,193.81,JY645007044604,12/02/2022,22,76,CNY,3760094,219.0,Custom,,235996450070,,235996450070,2070,12,JD
94,1,147.17,JY693495444604,12/02/2022,22,76,CNY,3760094,166.3,Custom,,238796934954,,238796934954,2070,12,JD
105,1,264.6,JY721367144604,12/02/2022,22,76,CNY,3760094,299.0,Custom,,238797213671,,238797213671,2070,12,JD
1367,1,264.6,JY723839544604,12/02/2022,22,76,CNY,3760094,299.0,Custom,,236007238395,,236007238395,2070,12,JD
94,1,147.17,JY737091144604,12/02/2022,22,76,CNY,3760094,166.3,Custom,,236027370911,,236027370911,2070,12,JD
105,1,264.6,JY746663344604,12/02/2022,22,76,CNY,3760094,299.0,Custom,,238797466633,,238797466633,2070,12,JD
1218,1,264.6,JY761724844604,12/02/2022,22,76,CNY,3760094,299.0,Custom,,238817617248,,238817617248,2070,12,JD
2849,1,220.35,JY779151044604,12/02/2022,22,76,CNY,3760094,249.0,Custom,,236007791510,,236007791510,2070,12,JD
55,1,193.81,JY783952144603,11/02/2022,22,76,CNY,3760094,219.0,Custom,,238727839521,,238727839521,2070,12,JD
2849,1,220.35,JY791156244604,12/02/2022,22,76,CNY,3760094,249.0,Custom,,238807911562,,238807911562,2070,12,JD
1906,1,255.75,JY804825644604,12/02/2022,22,76,CNY,3760094,289.0,Custom,,238788048256,,238788048256,2070,12,JD
59,1,193.81,JY822524944604,12/02/2022,22,76,CNY,3760094,219.0,Custom,,238808225249,,238808225249,2070,12,JD
55,1,193.81,JY875911544604,12/02/2022,22,76,CNY,3760094,219.0,Custom,,238808759115,,238808759115,2070,12,JD
1408,1,147.17,JY896667044604,12/02/2022,22,76,CNY,3760094,166.3,Custom,,238768966670,,238768966670,2070,12,JD
51,1,193.81,JY904244944604,12/02/2022,22,76,CNY,3760094,219.0,Custom,,236019042449,,236019042449,2070,12,JD
55,1,193.81,JY952514144603,11/02/2022,22,76,CNY,3760094,219.0,Custom,,235949525141,,235949525141,2070,12,JD
